=== Run information ===

Scheme:       weka.classifiers.lazy.KStar -B 20 -M a
Relation:     training-weka.filters.unsupervised.attribute.Remove-R1-4
Instances:    1456
Attributes:   21
              ndvi_ne
              ndvi_nw
              ndvi_se
              ndvi_sw
              precipitation_amt_mm
              reanalysis_air_temp_k
              reanalysis_avg_temp_k
              reanalysis_dew_point_temp_k
              reanalysis_max_air_temp_k
              reanalysis_min_air_temp_k
              reanalysis_precip_amt_kg_per_m2
              reanalysis_relative_humidity_percent
              reanalysis_sat_precip_amt_mm
              reanalysis_specific_humidity_g_per_kg
              reanalysis_tdtr_k
              station_avg_temp_c
              station_diur_temp_rng_c
              station_max_temp_c
              station_min_temp_c
              station_precip_mm
              total_cases
Test mode:    evaluate on training data

=== Classifier model (full training set) ===

KStar Beta Verion (0.1b).
Copyright (c) 1995-97 by Len Trigg (trigg@cs.waikato.ac.nz).
Java port to Weka by Abdelaziz Mahoui (am14@cs.waikato.ac.nz).

KStar options : -B 20 -M a 

Time taken to build model: 0 seconds

=== Predictions on training set ===

inst#,actual,predicted,error
3,0,8.218,8.218
4,0,4.05,4.05
5,0,4.003,4.003
6,0,22.281,22.281
7,0,21.039,21.039
8,0,18.211,18.211
9,0,16.077,16.077
10,0,40.998,40.998
11,0,45.897,45.897
12,0,114.66,114.66
13,0,14.236,14.236
14,0,11.178,11.178
15,0,59.28,59.28
16,0,15.016,15.016
17,0,27,27
18,0,22.262,22.262
19,0,60.904,60.904
20,0,21.581,21.581
21,0,38.579,38.579
22,0,31.962,31.962
23,0,66.51,66.51
24,0,37.495,37.495
25,0,38.947,38.947
26,0,35.781,35.781
27,0,54.649,54.649
28,0,13.823,13.823
29,0,26.261,26.261
30,0,35.988,35.988
31,0,32.846,32.846
32,0,12.73,12.73
33,0,10.942,10.942
34,0,36.737,36.737
35,0,5.251,5.251
36,0,24.615,24.615
37,0,24.202,24.202
38,0,26.014,26.014
39,0,31.731,31.731
40,0,20.057,20.057
41,0,31.776,31.776
42,0,22.456,22.456
43,0,19.457,19.457
44,0,17.007,17.007
45,0,12.148,12.148
46,0,1,1
47,0,40.422,40.422
48,0,5.077,5.077
49,0,17.841,17.841
50,0,14.21,14.21
51,0,3.001,3.001
52,0,18.605,18.605
53,0,22.245,22.245
54,0,18.151,18.151
55,0,44.265,44.265
56,0,5.084,5.084
57,0,12.346,12.346
58,0,6.979,6.979
59,0,31,31
60,0,23.065,23.065
61,0,66.166,66.166
62,0,12.58,12.58
63,0,11.757,11.757
64,0,18.705,18.705
65,0,21.942,21.942
66,0,24.033,24.033
67,0,49.768,49.768
68,0,27.573,27.573
69,0,27.665,27.665
70,0,36.306,36.306
71,0,50.398,50.398
72,0,66.565,66.565
73,0,10.357,10.357
74,0,84.38,84.38
75,0,50.42,50.42
76,0,40.973,40.973
77,0,50.939,50.939
78,0,14.64,14.64
79,0,15.55,15.55
80,0,29.058,29.058
81,0,20.532,20.532
82,0,40.12,40.12
83,0,28.693,28.693
84,0,58.105,58.105
85,0,65.654,65.654
86,0,54.86,54.86
87,0,7.05,7.05
88,0,24.675,24.675
89,0,42.166,42.166
90,0,33.305,33.305
91,0,8.921,8.921
92,0,2.501,2.501
93,0,77.778,77.778
94,0,17.817,17.817
95,0,12.271,12.271
96,0,3.689,3.689
97,0,18.264,18.264
98,0,18.518,18.518
99,0,15.243,15.243
100,0,9.339,9.339
101,0,7.255,7.255
102,0,17.068,17.068
103,0,15.017,15.017
104,0,8.199,8.199
105,0,23.045,23.045
106,0,19.362,19.362
107,0,16,16
108,0,6.046,6.046
109,0,3.46,3.46
110,0,45.454,45.454
111,0,10.156,10.156
112,0,17.06,17.06
113,0,99.928,99.928
114,0,20.813,20.813
115,0,37.337,37.337
116,0,63.188,63.188
117,0,69.405,69.405
118,0,89.874,89.874
119,0,21.56,21.56
120,0,12.015,12.015
121,0,22.647,22.647
122,0,75.755,75.755
123,0,258.326,258.326
124,0,29.516,29.516
125,0,58.616,58.616
126,0,11.067,11.067
127,0,60.066,60.066
128,0,32.524,32.524
129,0,4.007,4.007
130,0,64.455,64.455
131,0,3.888,3.888
132,0,9.286,9.286
133,0,113.847,113.847
134,0,6.996,6.996
135,0,13.496,13.496
136,0,12.453,12.453
137,0,17.043,17.043
138,0,77.299,77.299
139,0,11.887,11.887
140,0,6.496,6.496
141,0,27.96,27.96
142,0,22.399,22.399
143,0,15.002,15.002
144,0,43.865,43.865
145,0,19.405,19.405
146,0,12.76,12.76
147,0,24.172,24.172
148,0,12.096,12.096
149,0,11.839,11.839
150,0,8.096,8.096
151,0,9.182,9.182
152,0,6.041,6.041
153,0,1.356,1.356
154,0,8.555,8.555
155,0,9.171,9.171
156,0,12.001,12.001
157,0,3.128,3.128
158,0,18.523,18.523
159,0,4.448,4.448
160,0,28.001,28.001
161,0,11.26,11.26
162,0,20.787,20.787
163,0,56.565,56.565
164,0,17.003,17.003
165,0,24.323,24.323
166,0,23.955,23.955
167,0,23.827,23.827
168,0,65.965,65.965
169,0,29.108,29.108
170,0,34.935,34.935
171,0,46.876,46.876
172,0,59,59
173,0,30.562,30.562
174,0,98.747,98.747
175,0,49.155,49.155
176,0,43.022,43.022
177,0,127.836,127.836
178,0,51.829,51.829
179,0,40.041,40.041
180,0,24.789,24.789
181,0,25.991,25.991
182,0,23.674,23.674
183,0,62.361,62.361
184,0,70.022,70.022
185,0,19.247,19.247
186,0,29.885,29.885
187,0,59.598,59.598
188,0,22.916,22.916
189,0,2.014,2.014
190,0,168.848,168.848
191,0,76.268,76.268
192,0,16.034,16.034
193,0,111.809,111.809
194,0,44.166,44.166
195,0,11.989,11.989
196,0,14.855,14.855
197,0,27.55,27.55
198,0,24.58,24.58
199,0,15.518,15.518
200,0,25.583,25.583
201,0,12.863,12.863
202,0,11.904,11.904
203,0,16.867,16.867
204,0,7.44,7.44
205,0,27.429,27.429
206,0,29.289,29.289
207,0,14.38,14.38
208,0,19.049,19.049
209,0,14.445,14.445
210,0,20.584,20.584
211,0,14.171,14.171
212,0,41.565,41.565
213,0,6.053,6.053
214,0,11.617,11.617
215,0,11.204,11.204
216,0,28.246,28.246
217,0,16.327,16.327
218,0,12.2,12.2
219,0,9.024,9.024
220,0,11.8,11.8
221,0,10.439,10.439
222,0,24.952,24.952
223,0,18.621,18.621
224,0,126.953,126.953
225,0,6.978,6.978
226,0,7.001,7.001
227,0,34.809,34.809
228,0,64.32,64.32
229,0,35.852,35.852
230,0,91.402,91.402
231,0,33.555,33.555
232,0,24.99,24.99
233,0,49.65,49.65
234,0,54,54
235,0,42.463,42.463
236,0,11.65,11.65
237,0,22.068,22.068
238,0,34.365,34.365
239,0,24.959,24.959
240,0,10.736,10.736
241,0,10.322,10.322
242,0,8,8
243,0,25.691,25.691
244,0,19.547,19.547
245,0,98.566,98.566
246,0,5.189,5.189
247,0,2.183,2.183
248,0,5.488,5.488
249,0,18.536,18.536
250,0,25.821,25.821
251,0,14.787,14.787
252,0,2.978,2.978
253,0,3,3
254,0,8.009,8.009
255,0,10.69,10.69
256,0,5.401,5.401
257,0,15.952,15.952
258,0,7.995,7.995
259,0,3.005,3.005
260,0,32.831,32.831
261,0,5.04,5.04
262,0,7.99,7.99
263,0,3.069,3.069
264,0,1,1
265,0,6.096,6.096
266,0,7.066,7.066
267,0,3.857,3.857
268,0,0.001,0.001
269,0,0.964,0.964
270,0,2.61,2.61
271,0,8,8
272,0,3.108,3.108
273,0,1.059,1.059
274,0,4.996,4.996
275,0,2.009,2.009
276,0,1.138,1.138
277,0,7.989,7.989
278,0,5.992,5.992
279,0,3.551,3.551
280,0,9.9,9.9
281,0,3.795,3.795
282,0,0.539,0.539
283,0,4.797,4.797
284,0,5.765,5.765
285,0,16.272,16.272
286,0,36.982,36.982
287,0,0.812,0.812
288,0,7,7
289,0,7.998,7.998
290,0,3.037,3.037
291,0,14.699,14.699
292,0,5.01,5.01
293,0,9.111,9.111
294,0,15.629,15.629
295,0,19.981,19.981
296,0,2.403,2.403
297,0,4.262,4.262
298,0,10.901,10.901
299,0,6.045,6.045
300,0,8.75,8.75
301,0,8.967,8.967
302,0,4.821,4.821
303,0,2.024,2.024
304,0,7.332,7.332
305,0,6.787,6.787
306,0,2.832,2.832
307,0,7.964,7.964
308,0,2.237,2.237
309,0,4.487,4.487
310,0,6.128,6.128
311,0,23.246,23.246
312,0,3.033,3.033
313,0,2.506,2.506
314,0,0.989,0.989
315,0,0.548,0.548
316,0,11.91,11.91
317,0,3.105,3.105
318,0,6.991,6.991
319,0,4.638,4.638
320,0,7.005,7.005
321,0,8.995,8.995
322,0,8.526,8.526
323,0,9.013,9.013
324,0,2.351,2.351
325,0,1.251,1.251
326,0,6.003,6.003
327,0,2.932,2.932
328,0,7.462,7.462
329,0,5.388,5.388
330,0,0,0
331,0,3.774,3.774
332,0,14.963,14.963
333,0,7.433,7.433
334,0,0.028,0.028
335,0,10.329,10.329
336,0,3.27,3.27
337,0,12.978,12.978
338,0,22.61,22.61
339,0,13.288,13.288
340,0,3.064,3.064
341,0,3.734,3.734
342,0,2.229,2.229
343,0,1.083,1.083
344,0,7,7
345,0,12.906,12.906
346,0,1.309,1.309
347,0,9.44,9.44
348,0,2.307,2.307
349,0,3.177,3.177
350,0,4.145,4.145
351,0,0.039,0.039
352,0,2.069,2.069
353,0,4.994,4.994
354,0,5,5
355,0,13.939,13.939
356,0,46.816,46.816
357,0,8.902,8.902
358,0,2.896,2.896
359,0,2.984,2.984
360,0,2.994,2.994
361,0,4.95,4.95
362,0,2.088,2.088
363,0,3.016,3.016
364,0,3.438,3.438
365,0,0.015,0.015
366,0,3.445,3.445
367,0,1.416,1.416
368,0,4.043,4.043
369,0,2.003,2.003
370,0,0.001,0.001
371,0,6.705,6.705
372,0,4.49,4.49
373,0,4.999,4.999
374,0,22.785,22.785
375,0,5.999,5.999
376,0,7.194,7.194
377,0,0.049,0.049
378,0,3.502,3.502
379,0,7.022,7.022
380,0,24.705,24.705
381,0,19.368,19.368
382,0,3.19,3.19
383,0,5.61,5.61
384,0,7.908,7.908
385,0,2,2
386,0,8.336,8.336
387,0,34.512,34.512
388,0,4.938,4.938
389,0,11.087,11.087
390,0,6.526,6.526
391,0,17.225,17.225
392,0,1.397,1.397
393,0,3.047,3.047
394,0,8.999,8.999
395,0,17.668,17.668
396,0,6.969,6.969
397,0,6.72,6.72
398,0,2.587,2.587
399,0,9.726,9.726
400,0,5.269,5.269
401,0,20.255,20.255
402,0,11.88,11.88
403,0,10.08,10.08
404,0,15.06,15.06
405,0,12.06,12.06
406,0,7.799,7.799
407,0,30.6,30.6
408,0,3.017,3.017
409,0,10.998,10.998
410,0,12.898,12.898
411,0,5.368,5.368
412,0,7.383,7.383
413,0,0.743,0.743
414,0,5.993,5.993
415,0,3.969,3.969
416,0,2.997,2.997

=== Summary ===

Correlation coefficient                  0     
Mean absolute error                     21.2542
Root mean squared error                 33.5138
Total Number of Instances              416     

